2597 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymA_cool_star_SN', '64', '.5', 'match_LCDM_vanilla_SymA_cool_star_SN']
LCDM_vanilla	SymA_cool_star_SN
2368	None
2369	None
2370	5387
2371	8131
2372	None
2373	5805
2374	None
2375	None
2376	3759
2377	1803
2378	None
2379	3150
2380	None
2381	3831
2382	None
2383	None
2384	None
2385	None
2386	3793
2387	None
2388	3519
2389	None
2390	3721
2391	None
2392	4536
2393	3800
2394	2288
2395	2186
2396	3432
2397	2662
2398	5531
2399	3746
2400	4568
2401	3931
2402	4590
2403	None
2404	3159
2405	None
2406	None
2407	None
2408	3656
2409	2659
2410	None
2411	None
2412	7557
2413	None
2414	6299
2415	None
2416	3587
2417	3975
2418	None
2419	None
2420	3532
2421	2471
2422	3896
2423	None
2424	None
2425	None
2426	None
2427	None
2428	None
2429	None
2430	2657
2431	4569
2432	None
2433	3185
2434	4123
2435	None
2436	None
2437	None
2438	3135
2439	None
2440	None
2441	4835
2442	None
2443	None
2444	None
2445	None
2446	None
2447	None
2448	None
2449	None
2450	None
2451	None
2452	4626
2453	6299
2454	None
2455	None
2456	None
2457	3283
2458	3444
2459	None
2460	5823
2461	None
2462	3704
2463	None
2464	None
2465	2254
2466	2661
2467	None
2468	3058
2469	None
2470	3804
2471	3750
2472	2582
2473	None
2474	3634
2475	None
2476	None
2477	None
2478	None
2479	3621
2480	2825
2481	None
2482	2513
2483	None
2484	5296
2485	None
2486	None
2487	None
2488	None
2489	3659
2490	None
2491	None
2492	4830
2493	3652
2494	None
2495	None
2496	3080
2497	2444
2498	None
2499	None
2500	None
2501	3446
2502	None
2503	None
2504	4465
2505	None
2506	3896
2507	None
2508	3726
2509	None
2510	None
2511	None
2512	None
2513	None
2514	None
2515	2749
2516	4800
2517	None
2518	3533
2519	None
2520	None
2521	None
2522	6747
2523	4391
2524	7497
2525	None
2526	None
2527	None
2528	None
2529	None
2530	None
2531	None
2532	3499
2533	None
2534	5212
2535	3578
2536	None
2537	None
2538	None
2539	4324
2540	4627
2541	None
2542	None
2543	7533
2544	2848
2545	None
2546	None
2547	7369
2548	None
2549	None
2550	None
2551	6999
2552	3725
2553	4046
2554	None
2555	3638
2556	None
2557	None
2558	2206
2559	5053
2560	4952
2561	4500
2562	None
2563	None
2564	None
2565	None
2566	3294
2567	None
2568	None
2569	3775
2570	3027
2571	None
2572	4279
2573	3997
2574	None
2575	None
2576	None
2577	None
2578	None
2579	3877
2580	None
2581	5614
2582	4324
2583	7720
2584	1636
2585	None
2586	2284
2587	None
2588	None
2589	2338
2590	4941
2591	5053
2592	4289
2593	4752
2594	None
2595	None
2596	None
2597	3968
2598	None
2599	3193
2600	3651
2601	None
2602	3767
2603	3037
2604	3700
2605	3124
2606	5954
2607	None
2608	4204
2609	None
2610	None
2611	3860
2612	5871
2613	None
2614	None
2615	3814
2616	2805
2617	3093
2618	None
2619	3973
2620	4432
2621	None
2622	5049
2623	None
2624	None
2625	None
2626	None
2627	2888
2628	5127
2629	None
2630	3762
2631	3529
2632	None
2633	None
2634	None
2635	None
2636	None
2637	None
2638	4465
2639	3295
2640	None
2641	3098
2642	None
2643	None
2644	None
2645	7156
2646	None
2647	None
2648	4444
2649	3104
2650	5821
2651	None
2652	4660
2653	None
2654	None
2655	3827
2656	3799
2657	None
2658	None
2659	None
2660	7321
2661	3550
2662	None
2663	5138
2664	4187
2665	None
2666	None
2667	None
2668	None
2669	3999
2670	None
2671	None
2672	2560
2673	None
2674	3148
2675	None
2676	None
2677	None
2678	6976
2679	None
2680	4182
2681	None
2682	None
2683	4948
2684	4220
2685	None
2686	3513
2687	None
2688	None
2689	5193
2690	3977
2691	4765
2692	None
2693	None
2694	None
