1603 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymD_DM', '64', '.5', 'match_LCDM_vanilla_SymD_DM']
LCDM_vanilla	SymD_DM
2528	None
2529	None
2530	3142
2531	6000
2532	2483
2533	4305
2534	None
2535	None
2536	None
2537	None
2538	None
2539	2245
2540	None
2541	5851
2542	None
2543	3659
2544	None
2545	None
2546	None
2547	4593
2548	None
2549	4229
2550	None
2551	2455
2552	3810
2553	None
2554	None
2555	None
2556	None
2557	None
2558	None
2559	6863
2560	2188
2561	None
2562	None
2563	4302
2564	None
2565	None
2566	4355
2567	None
2568	4240
2569	None
2570	None
2571	None
2572	None
2573	None
2574	3421
2575	None
2576	None
2577	None
2578	None
2579	None
2580	None
2581	1662
2582	1353
2583	5473
2584	1135
2585	None
2586	2857
2587	None
2588	None
2589	2911
2590	None
2591	2800
2592	2916
2593	3640
2594	None
2595	None
2596	6040
2597	None
2598	None
2599	None
2600	None
2601	None
2602	None
2603	2195
2604	None
2605	None
2606	None
2607	3223
2608	3674
2609	None
2610	None
2611	3255
2612	None
2613	3852
2614	None
2615	7137
2616	2777
2617	3624
2618	None
2619	1781
2620	1624
2621	None
2622	None
2623	None
2624	None
2625	None
2626	None
2627	None
2628	None
2629	5357
2630	2228
2631	None
2632	None
2633	None
2634	None
2635	4551
2636	3763
2637	None
2638	4517
2639	1704
2640	None
2641	3915
2642	None
2643	None
2644	None
2645	None
2646	None
2647	None
2648	3561
2649	3571
2650	4643
2651	None
2652	3642
2653	None
2654	None
2655	3192
2656	None
2657	None
2658	3243
2659	None
2660	5532
2661	2501
2662	None
2663	None
2664	3513
2665	None
2666	None
2667	None
2668	None
2669	None
2670	None
2671	None
2672	None
2673	None
2674	3385
2675	None
2676	None
2677	None
2678	4434
2679	None
2680	None
2681	None
2682	5034
2683	4314
2684	None
2685	None
2686	None
2687	None
2688	None
2689	None
2690	None
2691	6305
2692	None
2693	None
2694	5755
2695	5183
2696	None
2697	None
2698	3767
2699	None
2700	None
2701	None
2702	None
2703	None
2704	None
2705	None
2706	None
2707	5820
2708	None
2709	None
2710	5986
2711	5128
2712	None
2713	3173
2714	3058
2715	None
2716	None
2717	6090
2718	None
2719	5402
2720	None
2721	5520
2722	None
2723	5104
2724	None
2725	None
2726	None
2727	None
2728	None
2729	4249
2730	None
2731	4294
2732	None
2733	None
2734	None
2735	None
2736	None
2737	4588
2738	None
2739	5617
2740	None
2741	3183
2742	3671
2743	None
2744	None
2745	None
2746	None
2747	None
2748	None
2749	None
2750	6053
2751	None
2752	None
2753	None
2754	None
2755	None
2756	None
2757	1894
2758	None
2759	None
2760	5132
2761	None
2762	None
2763	None
2764	None
2765	None
2766	None
2767	None
2768	None
2769	None
2770	None
2771	None
2772	6178
2773	None
2774	None
2775	None
2776	None
2777	7442
2778	None
2779	None
